regine_area;main_no;point_no;param_key;version_no_end;station_name;station_status_name;dt_start_date;dt_end_date;percent_missing_days;first_year_regulation;latitude;longitude;utm_east_z33;utm_north_z33;regulation_part_area;regulation_part_reservoirs;transfer_area_in;transfer_area_out;drainage_basin_key;area_norway;area_total;comment;drainage_dens;dt_registration_date;dt_regul_date;gradient_1085;gradient_basin;gradient_river;height_minimum;height_hypso_10;height_hypso_20;height_hypso_30;height_hypso_40;height_hypso_50;height_hypso_60;height_hypso_70;height_hypso_80;height_hypso_90;height_maximum;length_km_basin;length_km_river;ocean_polar_angle;ocean_polar_distance;perc_agricul;perc_bog;perc_eff_bog;perc_eff_lake;perc_forest;perc_glacier;perc_lake;perc_mountain;perc_urban;prec_intens_max;utm_zone_gravi;utm_east_gravi;utm_north_gravi;utm_zone_inlet;utm_east_inlet;utm_north_inlet;br1_middelavrenning_1930_1960;br2_Tilsigsberegning;br3_Regional_flomfrekvensanalyse;br5_Regional_lavvannsanalyse;br6_Klimastudier;br7_Klimascenarier;br9_Flomvarsling;br11_FRIEND;br12_GRDC;br23_HBV;br24_middelavrenning_1930_1960;br26_TotalAvlop;br31_FlomserierPrim;br32_FlomserierSekundar;br33_Flomkart_aktive_ureg;br34_Flomkart_aktive_ureg;br38_Flomkart_aktive_ureg_periode;br39_Flomkart_nedlagt_stasjon
2;117;0;1001;1;Stai;Nedlagt;01.01.1908 12:00;07.03.2006 12:00;0,167313;;61,49635315;11,05509186;290064;6824430;;;;;77;8869,361328;8932,209961;;;12.05.2015 00:00;;1,970000029;14,06999969;4,190000057;258;655;730;785;839;895;954;1024;1114;1248;2170;161,3000031;256,3699951;313,6900024;;2,109999895;8,109999657;;0,07;40,66999817;0,01;2,890000105;37;0,100000001;;33;275576;6905858;33;350255;6970928;Y;;Y;;Y;;Y;;;;Y;;;;;;;
2;118;0;1001;2;Rena;Nedlagt;24.10.1973 12:00;06.02.2002 12:00;19,297397;;61,12738419;11,37125587;304593;6782398;;;;;78;14344,25195;14407,19043;;;12.05.2015 00:00;;1,940000057;13,71000004;3,650000095;213;488;622;705;765;824;884;951;1037;1168;2170;198,9600067;306,4599915;313,8999939;;1,75999999;9,779999733;;0,109999999;49,31000137;0;2,839999914;28,78000069;0,079999998;;33;286738;6877577;33;350256;6970924;;;;;;;;;;;;;;;;;;
2;119;0;1001;0;Elverum;Nedlagt;00.01.1900 00:00;30.03.2016 12:00;0;1913;60,87969971;11,55556297;313060;6754299;0,653059483;0,102982447;0;0;305;15388,8623;15451,75977;;;12.05.2015 00:00;;1,889999986;;2,049999952;180;466;606;695;757;817;877;943;1026;1155;2170;226,25;334,1799927;;;1,809999943;10,14000034;;0,100000001;51,54999924;0;2,769999981;26,87000084;0,119999997;;;;;;;;;;;;;;;;;;;;;;;;;
2;122;0;1001;0;Skarnes;Aktiv;00.01.1900 00:00;16.04.2016 12:00;37,410087;1910;60,25431442;11,67747021;316154;6684364;0,497045249;0,084486082;0;0;81;19878,96094;20300,4707;;;12.05.2015 00:00;;1,399999976;12,52000046;1,610000014;128;278;381;493;622;721;801;881;971;1104;2170;295,0499878;458,2200012;314,2799988;;3,289999962;9,899999619;;0,07;57,15999985;0;2,920000076;20,45000076;0,180000007;;33;298173;6836244;33;350251;6970922;;;;;;;;;;;;;;Y;;;Y;
2;122;0;1001;0;Skarnes;Aktiv;00.01.1900 00:00;16.04.2016 12:00;37,410087;1910;60,25431442;11,67747021;316154;6684364;0,497045249;0,084486082;0;0;81;19878,96094;20300,4707;;;12.05.2015 00:00;;1,399999976;12,52000046;1,610000014;128;278;381;493;622;721;801;881;971;1104;2170;295,0499878;458,2200012;314,2799988;;3,289999962;9,899999619;;0,07;57,15999985;0;2,920000076;20,45000076;0,180000007;;33;298173;6836244;33;350251;6970922;;;;;;;;;;;;;;Y;;;Y;
2;126;0;1001;0;Langnes;Nedlagt;24.03.1901 12:00;30.03.2016 12:00;0,004761;;59,60916519;11,11806202;281008;6614289;;;;;84;40116,35938;40537,46875;;;12.05.2015 00:00;;1,24000001;13,88000011;1,379999995;82;226;352;481;622;752;863;967;1103;1338;2463;368,6900024;555,5100098;322,7900085;;5,690000057;7,619999886;;0,589999974;48,97000122;0,829999983;4,239999771;26,28000069;0,430000007;;33;259823;6819235;33;350263;6970917;;;;;;;;;;;;;;;;;;
2;129;0;1001;1;Dølplass;Aktiv;10.03.1908 12:00;16.04.2016 12:00;6,025073;1955;62,19223022;10,45106506;263382;6903910;0,277716786;0,105308861;0;559,0300293;87;2014,27002;2014,27002;;;12.05.2015 00:00;;4,519999981;;11,10999966;529;838;929;987;1041;1099;1157;1220;1289;1386;1851;67,62000275;93,62000275;;;1,340000033;7,329999924;;0,079999998;22,13999939;0,01;1,450000048;56,25999832;0,059999999;;;;;;;;Y;;;;;;Y;;;;Y;;Y;;;;Y;
2;130;0;1001;0;Atna bru;Nedlagt;14.11.1916 12:00;31.03.2016 12:00;0;;61,85002518;10,23534393;249375;6866669;;;;;88;463,8999939;463,8999939;;;12.05.2015 00:00;;9,460000038;28,05999947;12,32999992;699;802;923;1020;1118;1204;1273;1359;1468;1595;2169;34,52999878;60,61000061;317,5299988;;0,460000008;2,470000029;;1,090000033;20,27000046;0;1,799999952;68,58000183;0;;33;252826;6862634;33;221027;6874061;;;;;;;;;;;;;;;;;;
2;131;0;1001;1;Atnasjø;Nedlagt;15.04.1923 12:00;17.09.1984 12:00;74,025048;;61,8501358;10,22299671;248727;6866729;0;0;0;0;43;463,2000122;463,2000122;;;12.05.2015 00:00;;9,600000381;28,07999992;12,47999954;701;804;924;1022;1119;1205;1274;1360;1469;1595;2169;33,95000076;59,75999832;318,6400146;;0,430000007;2,480000019;;1,090000033;20,11000061;0;1,799999952;68,73000336;0;;33;234972;6876314;33;221034;6874062;Y;;Y;Y;Y;;Y;;;;;;;;;;;
2;132;0;1001;0;Lomnessjø;Aktiv;26.02.1919 12:00;16.04.2016 12:00;4,960541;1971;61,73286819;11,20183754;299404;6850281;0;0;0;0;89;1165,170044;1165,170044;;;12.05.2015 00:00;;9,079999924;16,57999992;9,329999924;256;437;592;703;767;825;880;927;978;1064;1651;63,15000153;87,31999969;313,6900024;;2,170000076;8,149999619;;0,349999994;53,11999893;0;1,340000033;31,23999977;0,059999999;;33;294841;6884688;33;303300;6912173;Y;;Y;Y;;;;;;;Y;;;Y;;;Y;
